FAILURE,YEAR_CONSTRUCTION,YEAR_ACTIVE,AGE,CABLE_COX1,CABLE_COX2,COX1==COX2,CONSTRUCTION_ORIG,CONSTRUCTION_EXP,CONSTRUCTION_COX,GROUND_TYPE,SUBSIDENCE,DEWATERING_DEPTH_CM
False,1985.0,,33.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Lovinolmof,LOVINOL_5,Lichte klei,0,-3.0
False,1996.0,1996.0,22.0,GPLK_NA_1978,GPLK_NA_1978,True,Kabeldon,Kabeldon,Kabeldon,Lichte zavel,0,-1.0
False,2017.0,2017.0,1.0,XLPE,XLPE,True,Onbekend,Krimpmof,Krimpmof,Zware zavel,1,-3.0
False,1997.0,1997.0,21.0,GPLK_VOOR_1978,GPLK_NA_1978,False,Kabeldon,Kabeldon,Kabeldon,Zand,0,-1.0
False,1935.0,,83.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,"Bebouwing, enz",0,-19.0
False,2004.0,2004.0,14.0,GPLK_VOOR_1978,GPLK_NA_1978,False,Overig,Overig,Overig,Zware klei,0,-1.0
False,2008.0,2008.0,10.0,XLPE,GPLK_VOOR_1978,False,Kunststofmof,Kunststofmof,Krimpmof,"Bebouwing, enz",1,-2.99999999
False,2003.0,2003.0,15.0,XLPE,XLPE,True,Kunststofmof ABB,Kunststofmof,Krimpmof,Lichte klei,0,-0.5
False,1988.0,1988.0,30.0,GPLK_NA_1978,GPLK_NA_1978,True,Kabeldon,Kabeldon,Kabeldon,"Bebouwing, enz",0,-0.5
True,2001.0,2001.0,14.0,GPLK_NA_1978,GPLK_VOOR_1978,False,Onbekend,Gietharsmof,Gietharsmof,"Bebouwing, enz",1,-4.49999999
True,1998.0,1998.0,16.0,,GPLK_NA_1978,False,Gietharsmof,Gietharsmof,Gietharsmof,"Bebouwing, enz",1,-2.5
True,1982.0,1982.0,26.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Lovinolmof,LOVINOL_6,"Bebouwing, enz",1,-2.5
False,1971.0,1971.0,47.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Overig,Overig,Overig,Zand,0,-9.5
False,2005.0,2005.0,13.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Kabeldon,Kabeldon,Kabeldon,Zware klei,0,-1.0
False,2005.0,2005.0,13.0,XLPE,XLPE,True,Kunststofmof Raychem,Kunststofmof,Krimpmof,Zware zavel,0,-1.0
False,2000.0,,18.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Onbekend,Onbekend,"Bebouwing, enz",1,-1.0
False,1999.0,1999.0,19.0,GPLK_NA_1978,GPLK_NA_1978,True,Gietharsmof,Gietharsmof,Gietharsmof,Zware zavel,0,0.0
False,2002.0,2002.0,16.0,XLPE,XLPE,True,Onbekend,Lovinolmof,LOVINOL_2,Zand,0,-1.5
False,1966.0,,52.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-0.49999999
True,2007.0,2007.0,2.0,XLPE,XLPE,True,Krimpmof Raychem,Krimpmof,Krimpmof,Lichte klei,1,-3.49999999
False,1953.0,,65.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,Zand,0,-0.5
False,2005.0,2005.0,13.0,GPLK_NA_1978,XLPE,False,Onbekend,Kunststofmof,Krimpmof,"Bebouwing, enz",0,-2.0
True,2009.0,2009.0,3.0,XLPE,,False,Krimpmof Raychem,Krimpmof,Krimpmof,Zware zavel,0,-3.0
False,1976.0,1976.0,42.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Nekaldietmof,Lovinolmof,LOVINOL_6,"Bebouwing, enz",1,-1.5
False,1995.0,1995.0,23.0,GPLK_NA_1978,GPLK_NA_1978,True,Kabeldon,Kabeldon,Kabeldon,Veen,0,-1.49999999
True,1996.0,1996.0,12.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Kabeldon,Kabeldon,Kabeldon,"Bebouwing, enz",0,-3.0
False,1974.0,1974.0,44.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,-32.99999999
